Start,Finish,Duration,Age,Dialogue/Interaction_unit,Number,CDS,Utterance_type,Participant,Language,Initiation,Response_yes,Transcription,TCH_Language,
20404.92989,20406.50884,1.578957,12,281,4,0,Voc,TCH,TCH,0,0,,,278.4.CH.Voc.RN
20406.50884,20407.11256,0.603718,12,282,1,1,Excl,S1,Rus,1,1,,,279.1.CDS.Excl.S1.Rus.Init
20407.11256,20407.66984,0.557279,12,282,2,0,Voc,TCH,TCH,0,1,,,279.2.CH.Voc.RY
20410.21243,20410.642,0.429569,12,282,3,1,Interr,S1,Rus,0,1,,,279.3.CDS.Interr.S1.Rus.RY
21190.31002,21191.45941,1.149387,12,282,4,0,Voc,TCH,TCH,0,1,,,279.4.CH.Voc.RY
21191.45941,21192.07474,0.615329,12,282,5,1,Interr,S1,Rus,0,1,,,279.5.CDS.Interr.S1.Rus.RY
21192.7249,21193.39828,0.673379,12,282,6,0,Voc,TCH,TCH,0,1,,,279.6.CH.Voc.RY
21199.2381,21200.80544,1.567347,12,282,7,1,Excl,S1,Rus,0,1,,,279.7.CDS.Excl.S1.Rus.RY
21201.64136,21202.34957,0.708208,12,282,8,0,Voc,TCH,TCH,0,1,,,279.8.CH.Voc
21206.61043,21207.1561,0.545669,12,282,9,1,Decl,S1,Rus,0,0,,,279.9.CDS.Decl.S1.Rus.RN
21213.56481,21216.52535,2.960544,12,283,1,0,Voc,TCH,TCH,1,1,,,280.1.CH.Voc.Init
21216.52535,21216.88526,0.35991,12,283,2,1,Valid,S1,Rus,0,0,,,280.2.CDS.Valid.S1.Rus.RN
21216.88526,21217.60508,0.719818,12,284,1,0,Voc,TCH,TCH,1,1,,,281.1.CH.Voc.Init
21259.43583,21259.95828,0.522449,12,284,2,1,Excl,S1,Rus,0,1,,,281.2.CDS.Excl.S1.Rus.RY
21259.96989,21260.72454,0.754648,12,284,3,0,Voc,TCH,TCH,0,1,,,281.3.CH.Voc.RY
21277.50095,21278.01179,0.510839,12,284,4,1,Imit,S1,Rus,0,0,,,281.4.CDS.Imit.S1.Rus.RN
21278.38331,21279.45143,1.068118,12,285,1,0,Voc,TCH,TCH,1,1,,,282.1.CH.Voc.Init
21280.67048,21281.37869,0.708209,12,285,2,1,Interr,S1,Rus,0,1,,,282.2.CDS.Interr.S1.Rus.RY
