Duration,Speaker,Language,Category,Turn,Classification,,
,mam,ru,ads,non-contingent,ads,,
,mam,ru,ads,non-contingent,ads,,
1.87,oma,ru,ads,non-contingent,ads,,
4.46,mam,ru,ads,non-contingent,ads,,
,mam,ru,ads,non-contingent,ads,,
,mam,ru,ads,non-contingent,ads,,
,mam,ru,ads,non-contingent,ads,,
2.951,oma,ru,ads,non-contingent,ads,,
,oma,ru,ads,non-contingent,ads,,
6.5,oma,ru,cds,non-contingent,scaffolding,,
,oma,ru,cds,non-contingent,description,,
0.9,tch,tch,tch,initiation,speech-like,,
0.4,oma,ru,cds,contingent,backchannel,,
1.23,mam,ru,ads,non-contingent,ads,,
2.23,oma,ru,ads,non-contingent,ads,,
1.938,mam,ru,ads,non-contingent,ads,,
,mam,ru,ads,non-contingent,ads,,
6.18,oma,ru,ads,non-contingent,ads,,
,oma,ru,ads,non-contingent,ads,,
,oma,ru,ads,non-contingent,ads,,
,oma,ru,ads,non-contingent,ads,,
,oma,ru,ads,non-contingent,ads,,
12.08,mam,ru,ads,non-contingent,ads,,
,mam,ru,ads,non-contingent,ads,,
,mam,ru,ads,non-contingent,ads,,
,mam,ru,ads,non-contingent,ads,,
,mam,ru,ads,non-contingent,ads,,
,mam,ru,ads,non-contingent,ads,,
,mam,ru,ads,non-contingent,ads,,
1.706,oma,ru,ads,non-contingent,ads,,
4.05,oma,ru,cds,non-contingent,imperative,,
,oma,ru,cds,non-contingent,imperative,,
,oma,ru,cds,initiation,description,,
1.15,tch,tch,tch,contingent,babbling,,
5.6,oma,ru,cds,contingent,imperative,,
,oma,ru,cds,contingent,scaffolding,,
,oma,ru,cds,contingent,description,,
0.65,tch,tch,tch,contingent,vocalisation,,
4.87,oma,ru,cds,contingent,repair 3,,
,oma,ru,cds,contingent,question,,
,oma,ru,cds,contingent,description,,
,oma,ru,cds,contingent,description,,
1.35,mam,ru,ads,non-contingent,ads,,
1.43,oma,ru,ads,non-contingent,ads,,
5.65,oma,ru,ads,non-contingent,ads,,
,oma,ru,ads,non-contingent,ads,,
0.94,tch,tch,tch,initiation,babbling,,
1.83,oma,ru,cds,contingent,imperative,,
1.58,mam,ru,cds,contingent,scaffolding,,
1.05,oma,ru,cds,contingent,imperative,,
1.23,tch,tch,tch,initiation,babbling,,
1.156,oma,ru,cds,contingent,prosodic imitation,,
0.9,tch,tch,tch,initiation,babbling,,
0.57,oma,ru,cds,contingent,imperative,,
7.53,oma,ru,cds,non-contingent,description,,
,oma,ru,cds,non-contingent,description,,
,oma,ru,cds,non-contingent,description,,
3.721,oma,ru,cds,non-contingent,scaffolding,,
,oma,ru,cds,non-contingent,imperative,,
1.35,tch,tch,tch,initiation,fussing,,
1.673,oma,ru,cds,contingent,iconic,,
1.346,tch,tch,tch,non-contingent,grunting,,
0.66,tch,tch,tch,non-contingent,vocalisation,,
1.948,tch,tch,tch,non-contingent,babbling,,
1.96,tch,tch,tch,non-contingent,iconic,,
1.72,tch,tch,tch,initiation,babbling,,
0.98,oma,ru,cds,contingent,backchannel,,
1.93,toy,de,toy,non-contingent,toy,,
5.18,tch,tch,tch,initiation,fussing,,
5.744,oma,ru,cds,contingent,question,,
,oma,ru,cds,contingent,question,,
2.91,tch,tch,tch,initiation,grunting,,
2.71,oma,ru,cds,contingent,question,,
,tch,tch,tch,contingent,fussing,,
3.35,oma,ru,cds,contingent,question,,
,oma,ru,cds,contingent,imperative,,
25.303,oma,ru,cds,non-contingent,praise,,
,oma,ru,cds,non-contingent,description,,
,oma,ru,cds,non-contingent,description,,
,oma,ru,cds,non-contingent,description,,
,oma,ru,cds,non-contingent,description,,
,oma,ru,cds,non-contingent,question,,
,oma,ru,cds,non-contingent,scaffolding,,
,oma,ru,cds,non-contingent,scaffolding,,
1.77,oma,ru,cds,non-contingent,description,,
1.16,tch,tch,tch,initiation,babbling,,
2.86,oma,ru,cds,contingent,backchannel,,
,oma,ru,cds,contingent,praise,,
1.99,tch,tch,tch,initiation,babbling,,
2.98,oma,ru,cds,contingent,play,,
0.86,tch,tch,tch,contingent,babbling,,
5.57,oma,ru,cds,contingent,prosodic imitation,,
,oma,ru,cds,contingent,prosodic imitation,,
,oma,ru,cds,contingent,prosodic imitation,,
,oma,ru,cds,contingent,backchannel,,
2.32,tch,tch,tch,contingent,babbling,,
3.73,oma,ru,cds,contingent,vocal imitation,,
,oma,ru,cds,contingent,backchannel,,
3.15,tch,tch,tch,contingent,babbling,,
1.955,oma,ru,cds,contingent,prosodic imitation,,
2.42,tch,tch,tch,contingent,babbling,,
3.77,oma,ru,cds,contingent,backchannel,,
,oma,ru,cds,contingent,description,,
1.8,tch,tch,tch,contingent,grunting,,
1.24,oma,ru,cds,contingent,imperative,,
3.24,oma,ru,cds,initiation,description,,
1.94,tch,tch,tch,contingent,babbling,,
3.8,oma,ru,cds,contingent,description,,
,oma,ru,cds,contingent,question,,
0.78,tch,tch,tch,initiation,babbling,,
0.576,oma,ru,cds,contingent,backchannel,,
1.179,tch,tch,tch,non-contingent,babbling,,
1.05,tch,tch,tch,non-contingent,babbling,,
1.52,tch,tch,tch,non-contingent,speech-like,,
4.964,tch,tch,tch,non-contingent,babbling,,
2.23,tch,tch,tch,initiation,speech-like,,
4.5,oma,ru,cds,contingent,vocal imitation,,
,oma,ru,cds,contingent,syntactic expansion,,
1.96,tch,tch,tch,initiation,grunting,,
6.75,oma,ru,cds,contingent,question,,
,oma,ru,cds,contingent,question,,
,oma,ru,cds,contingent,question,,
1.218,oma,ru,cds,non-contingent,question,,
10.45,oma,ru,cds,non-contingent,question,,
,oma,ru,cds,non-contingent,scaffolding,,
,oma,ru,cds,non-contingent,praise,,
,oma,ru,cds,initiation,praise,,
0.75,tch,tch,tch,contingent,grunting,,
3.502,oma,ru,cds,contingent,backchannel,,
,oma,ru,cds,contingent,description,,
